,Metric,t-statistic,p-value,Effect Size (Cohen's d)
0,Mean_HR_bpm,-7.164271608133061,1.4257592183272806e-09,0.3961186296782556
1,RMSSD_ms,1.9650939131202636,0.05411712294531819,-0.14503770793809884
2,SD2_SD1_ratio,-3.36138725636495,0.0013653889994708352,0.314644837257327
3,LF_HF_ratio_AR,-1.266942815935691,0.21015419392026874,0.12131255715683235
4,HFpow_AR_nu,3.1266504773823973,0.002743995932048195,-0.32532183964215655
5,garmin_stress,-6.159126421341784,7.029258663967597e-08,0.3312942628000056
6,reported_stress,-9.53081350821001,1.507522737156912e-13,1.4348736200118675
