Condition,Baseline,Baseline,Stress,Stress,Recovery,Recovery
Statistic,Mean,SD,Mean,SD,Mean,SD
HR,73.36,(11.8),78.21,(11.26),73.78,(11.2)
RMSSD,41.4,(24.77),37.41,(19.56),39.44,(21.18)
SD2/SD1,2.15,(0.65),2.37,(0.61),2.27,(0.71)
LF/HF,2.39,(1.9),2.71,(1.82),2.77,(2.25)
HF_nu,39.02,(16.19),33.68,(12.92),36.23,(15.96)
garmin_stress,41.09,(23.51),49.43,(24.85),42.74,(23.63)
reported_stress,1.97,(1.31),4.58,(2.15),1.98,(1.41)
